#time	SIM_5_5/
769.80	72.30
770.40	82.40
771.00	90.80
771.60	98.90
772.20	105.40
772.80	105.00
773.40	93.30
774.00	110.80
774.60	112.50
775.20	119.20
775.80	120.60
776.40	130.40
777.00	127.90
777.60	131.00
778.20	131.40
778.80	125.30
779.40	121.50
780.00	123.20
780.60	132.60
781.20	117.40
781.80	125.60
782.40	103.90
783.00	108.00
783.60	109.60
784.20	112.40
784.80	115.10
785.40	113.80
786.00	98.40
786.60	111.00
787.20	125.30
787.80	121.50
788.40	119.60
789.00	122.30
789.60	127.10
790.20	124.10
790.80	124.20
791.40	127.10
792.00	111.20
792.60	127.60
793.20	125.20
793.80	136.70
794.40	138.90
795.00	139.30
795.60	137.10
796.20	125.00
796.80	133.50
797.40	123.40
798.00	125.80
798.60	116.30
799.20	130.40
799.80	151.10
800.40	138.40
801.00	134.50
801.60	135.80
802.20	148.30
802.80	127.60
803.40	144.00
804.00	147.40
804.60	151.90
805.20	150.80
805.80	142.40
806.40	144.30
807.00	145.30
807.60	155.30
808.20	159.90
808.80	136.70
809.40	130.80
810.00	125.00
810.60	134.60
811.20	139.10
811.80	131.30
812.40	132.60
813.00	128.90
813.60	128.70
814.20	126.30
814.80	128.40
815.40	134.50
816.00	144.40
816.60	134.20
817.20	128.60
817.80	134.40
818.40	137.10
819.00	137.40
819.60	131.70
820.20	149.30
820.80	164.70
821.40	175.60
822.00	180.20
822.60	170.70
823.20	167.80
823.80	171.20
824.40	154.40
825.00	154.00
825.60	156.50
826.20	157.40
826.80	146.00
827.40	143.90
828.00	145.30
828.60	150.30
829.20	141.80
829.80	148.10
830.40	155.50
831.00	151.30
831.60	141.80
832.20	143.00
832.80	145.70
833.40	154.00
834.00	170.20
834.60	167.90
835.20	172.00
835.80	178.80
836.40	183.20
837.00	186.90
837.60	185.90
838.20	188.70
838.80	178.80
839.40	188.00
840.00	183.90
840.60	195.00
841.20	195.20
841.80	198.80
842.40	187.80
843.00	176.00
843.60	173.50
844.20	166.80
844.80	171.00
845.40	158.20
846.00	161.50
846.60	161.00
847.20	156.90
847.80	149.50
848.40	145.50
849.00	142.90
849.60	143.40
850.20	137.50
850.80	143.20
851.40	149.90
852.00	154.20
852.60	145.40
853.20	163.30
853.80	161.10
854.40	169.10
855.00	173.80
855.60	165.10
856.20	168.10
856.80	178.30
857.40	167.70
858.00	177.40
858.60	181.40
859.20	171.90
859.80	171.60
860.40	168.90
861.00	171.60
861.60	166.10
862.20	162.20
862.80	152.80
863.40	142.30
864.00	144.40
864.60	134.20
865.20	131.10
865.80	124.60
866.40	131.90
867.00	128.60
867.60	110.50
868.20	104.40
868.80	102.60
869.40	110.90
870.00	100.30
870.60	98.20
871.20	100.00
871.80	109.40
872.40	113.00
873.00	116.10
873.60	114.40
874.20	114.00
874.80	115.50
875.40	117.00
876.00	110.70
876.60	122.60
877.20	121.80
877.80	125.80
878.40	117.40
879.00	119.30
879.60	127.10
880.20	121.60
880.80	125.80
881.40	136.90
882.00	134.00
882.60	141.70
883.20	132.50
883.80	154.00
884.40	152.90
885.00	160.80
885.60	160.00
886.20	167.40
886.80	158.30
887.40	156.90
888.00	167.40
888.60	161.20
889.20	161.30
889.80	165.30
890.40	154.90
891.00	158.10
891.60	151.70
892.20	149.30
892.80	143.60
893.40	133.00
894.00	128.30
894.60	129.50
895.20	128.60
895.80	135.80
896.40	138.20
897.00	144.30
897.60	131.40
898.20	137.60
898.80	138.70
899.40	141.30
900.00	136.70
900.60	137.60
901.20	127.40
901.80	129.10
902.40	138.50
903.00	138.80
903.60	148.30
904.20	150.60
904.80	156.70
905.40	166.90
906.00	170.90
906.60	174.10
907.20	163.80
907.80	161.10
908.40	171.90
909.00	168.50
909.60	165.80
910.20	167.90
910.80	165.30
911.40	165.50
912.00	154.30
912.60	151.80
913.20	135.40
913.80	144.50
914.40	137.60
915.00	153.10
915.60	141.00
916.20	135.30
916.80	145.30
917.40	131.30
918.00	119.10
918.60	115.90
919.20	121.90
919.80	111.00
920.40	115.80
921.00	96.10
921.60	109.20
922.20	105.60
922.80	109.60
923.40	100.80
924.00	103.80
924.60	102.70
925.20	124.50
925.80	138.60
926.40	144.80
927.00	159.50
927.60	164.40
928.20	155.90
928.80	164.70
929.40	151.40
930.00	149.90
930.60	141.50
931.20	128.10
931.80	121.20
932.40	114.50
933.00	126.60
933.60	105.90
934.20	116.90
934.80	113.60
935.40	123.60
936.00	147.30
936.60	143.60
937.20	130.30
937.80	140.30
938.40	122.70
939.00	129.50
939.60	123.10
940.20	144.70
940.80	141.60
941.40	140.00
942.00	117.60
942.60	117.30
943.20	99.10
943.80	115.00
944.40	124.70
945.00	114.50
945.60	125.40
946.20	133.90
946.80	123.30
947.40	131.50
948.00	122.90
948.60	92.40
949.20	112.50
949.80	121.40
950.40	111.10
951.00	114.70
951.60	109.20
952.20	112.60
952.80	121.70
953.40	122.90
954.00	117.20
954.60	132.40
955.20	117.20
955.80	118.20
956.40	107.90
957.00	111.40
957.60	118.10
958.20	120.50
958.80	128.30
959.40	127.40
960.00	127.80
960.60	134.50
961.20	134.40
961.80	122.20
962.40	131.80
963.00	129.80
963.60	125.90
964.20	134.60
964.80	133.90
965.40	130.90
966.00	125.50
966.60	128.60
967.20	129.00
967.80	124.50
968.40	119.50
969.00	130.80
969.60	134.40
970.20	146.00
970.80	154.90
971.40	149.50
972.00	156.40
972.60	151.30
973.20	150.10
973.80	138.20
974.40	132.30
975.00	135.30
975.60	130.40
976.20	129.10
976.80	135.80
977.40	153.70
978.00	145.30
978.60	138.20
979.20	135.60
979.80	141.50
980.40	149.10
981.00	164.40
981.60	168.00
982.20	165.30
982.80	159.50
983.40	171.70
984.00	161.10
984.60	162.50
985.20	165.20
985.80	170.50
986.40	190.40
987.00	189.40
987.60	201.70
988.20	195.00
988.80	194.50
989.40	182.00
990.00	184.80
990.60	192.20
991.20	190.90
991.80	197.20
992.40	170.70
993.00	159.90
993.60	169.10
994.20	158.00
